Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
Cis-Jasmone Lactone,70851-61-5,5-[(Z)-hex-3-enyl]-5-methyloxolan-2-one,Unclassified,,C11 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),182.26,2.83,CCC=CCCC1(C)CCC(=O)O1,"Fraterworks, MySkinRecipes"
Citral,5392-40-5,Citral,Aldehydic (Complex),Base,C10 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),152.24,2.88,CC(C)=CCCC(C)=CC=O,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Citrathal,7492-66-2,"1,1-Diethoxy-3,7-dimethylocta-2,6-diene",Unclassified,,C14 O2,Acetal,Aliphatic,No,Lipophilic (Oil/Wax Compatible),226.36,4.08,CCOC(C=C(C)CCC=C(C)C)OCC,"MySkinRecipes, PerfumersWorld"
Citric Acid,77-92-9,citric acid,Unclassified,,C6 O7,"Carboxylic Acid, Tertiary Alcohol",Aliphatic,No,Hydrophilic (Water Compatible),192.12,-1.25,O=C(O)CC(O)(CC(=O)O)C(=O)O,PerfumersWorld
CitronellAL,106-23-0,CITRONELLAL,Floral (Hay),Heart,C10 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),154.25,2.96,CC(C)=CCCC(C)CC=O,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
CitronellOL,106-22-9,Citronellol,Floral (Mimosa),Heart,C10 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),156.27,2.75,CC(C)=CCCC(C)CCO,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Citronellyl Acetate,150-84-5,Citronellyl acetate,Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),198.31,3.32,CC(=O)OCCC(C)CCC=C(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Citronellyl Butyrate (FEMA 2312),141-16-2,"3,7-dimethyloct-6-enyl butanoate",Unclassified,,C14 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),226.36,4.1,CCCC(=O)OCCC(C)CCC=C(C)C,MySkinRecipes
Citronellyl Formate,105-85-1,Citronellyl formate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),184.28,2.93,CC(C)=CCCC(C)CCOC=O,"Fraterworks, MySkinRecipes, PerfumersWorld"
Citronellyl Isobutyrate (FEMA 2313),97-89-2,"3,7-dimethyloct-6-enyl 2-methylpropanoate",Unclassified,,C14 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),226.36,3.96,CC(C)=CCCC(C)CCOC(=O)C(C)C,MySkinRecipes
Citronellyl Nitrile,51566-62-2,Citronellyl nitrile,Citrus (Sharp),Top,C10 N1,Nitrile,Aliphatic,No,Standard (Alcohol Compatible),151.25,3.28,CC(C)=CCCC(C)CC#N,"MySkinRecipes, PerfumersWorld"
Civettal,91-61-2,"6-methyl-1,2,3,4-tetrahydroquinoline",Unclassified,,C10 N1,Amine,Aromatic (Benzene),Yes,Standard (Alcohol Compatible),147.22,2.35,Cc1ccc2c(c1)CCCN2,Fraterworks
Civettone,542-46-1,(9Z)-cycloheptadec-9-en-1-one,Unclassified,,C17 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Lipophilic (Oil/Wax Compatible),250.43,5.59,O=C1CCCCCCCC=CCCCCCCC1,Fraterworks
Claritone,74338-72-0,"2,4,4,7-tetramethyloct-6-en-3-one",Unclassified,,C12 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),182.31,3.59,CC(C)=CCC(C)(C)C(=O)C(C)C,Fraterworks
Clearwood,84238-39-1,Clearwood,Woods (Patchouli),Base,C15 O1,Tertiary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),222.37,3.61,CC(C)C1CCC2(C)C1C1(C)CCC2(O)C1,PerfumersWorld
