SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
8F3094001821,Farnesol from SimpleScentsDIY,4602-84-0,farnesol,Musk (Botanical),Base,C15 O1,Primary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),222.37,4.4,CC(=CCCC(=CCCC(=CCO)C)C)C
3XU22434,Fixamber from PerfumersWorld,71735-79-0,"13-Oxabicyclo(10.1.0)trideca-4,8-diene, trimethyl-",Woods,No description available,C15 O1,Ether,Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),220.36,4.25,CC1(CC=CCCC=CCCC2C1(O2)C)C
4YM00191,Floralozone from PerfumersWorld,67634-15-5,"3-(4-ethylphenyl)-2,2-dimethylpropanal",Facet (Marine),No description available,C13 O1,Aldehyde,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),190.29,3.02,CCC1=CC=C(C=C1)CC(C)(C)C=O
8F3094001554,Floralozone from SimpleScentsDIY,67634-14-4,"3-(2-ethylphenyl)-2,2-dimethylpropanal",Unclassified,No description available,C13 O1,Aldehyde,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),190.29,3.02,CCC1=CC=CC=C1CC(C)(C)C=O
8F3094005319,Florhydral from SimpleScentsDIY,125109-85-5,Isopropylphenylbutanal,Floral,No description available,C13 O1,Aldehyde,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),190.29,3.5,CC(C)C1=CC(=CC=C1)C(C)CC=O
3ML00192,Florol from PerfumersWorld,63500-71-0,"2H-Pyran-4-ol, tetrahydro-4-methyl-2-(2-methylpropyl)-",Floral (Muguet),Heart,C10 O2,"Ether, Tertiary Alcohol",Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),172.27,1.96,CC(C)CC1CC(CCO1)(C)O
8F3094001285,Florol from SimpleScentsDIY,63500-71-0,"2H-Pyran-4-ol, tetrahydro-4-methyl-2-(2-methylpropyl)-",Floral (Muguet),Heart,C10 O2,"Ether, Tertiary Alcohol",Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),172.27,1.96,CC(C)CC1CC(CCO1)(C)O
8F3094001776,Floropal from SimpleScentsDIY,5182-36-5,"2,4,6-Trimethyl-4-phenyl-1,3-dioxane",Floral,No description available,C13 O2,Acetal,Aromatic (Benzene),Yes,Base Note,Standard (Alcohol Compatible),206.28,3.07,CC1CC(OC(O1)C)(C)C2=CC=CC=C2
3FG00196,Fructone B from PerfumersWorld,6290-17-1,"ethyl 2-(2,4-dimethyl-1,3-dioxolan-2-yl)acetate",Fruity,No description available,C9 O4,"Ester, Ketal",Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),188.22,1.09,CCOC(=O)CC1(OCC(O1)C)C
8F3094004212,Fruitate from SimpleScentsDIY,80657-64-3,"Ethyl hexahydro-4,7-methanoindane-3a-carboxylate",Fruity,No description available,C13 O2,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),208.3,2.77,CCOC(=O)C12CCCC1C3CCC2C3
8F3094001828,Furaneol 10% In DPG from SimpleScentsDIY,3658-77-3,Furaneol,Gourmet (Sugar),No description available,C6 O3,"Ether, Ketone",Aliphatic,Yes,Top Note,Hydrophilic (Water Compatible),128.13,0.76,CC1C(=O)C(=C(O1)C)O
5VE09272,Furaneol 10% in PG from PerfumersWorld,3658-77-3,Furaneol,Gourmet (Sugar),No description available,C6 O3,"Ether, Ketone",Aliphatic,Yes,Top Note,Hydrophilic (Water Compatible),128.13,0.76,CC1C(=O)C(=C(O1)C)O
4XA13770,Galaxolide 100 (Undiluted) from PerfumersWorld,1222-05-5,Galaxolide,Musk (Clean),Base,C20,Hydrocarbon / Other,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),268.44,5.84,CC1CC2(C(C1)C)C3=C(C=C2C)C(=CC(=C3)C)C(C)C
8F3094001703,Galaxolide 100% (Pure) from SimpleScentsDIY,1222-05-5,Galaxolide,Musk (Clean),Base,C20,Hydrocarbon / Other,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),268.44,5.84,CC1CC2(C(C1)C)C3=C(C=C2C)C(=CC(=C3)C)C(C)C
3XA00199,Galaxolide 50 DEP from PerfumersWorld,1222-05-5,Galaxolide,Musk (Clean),Base,C20,Hydrocarbon / Other,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),268.44,5.84,CC1CC2(C(C1)C)C3=C(C=C2C)C(=CC(=C3)C)C(C)C
3XA10721,Galaxolide 50 DPG from PerfumersWorld,1222-05-5,Galaxolide,Musk (Clean),Base,C20,Hydrocarbon / Other,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),268.44,5.84,CC1CC2(C(C1)C)C3=C(C=C2C)C(=CC(=C3)C)C(C)C
5DD07874,Gamma Decalactone 10% in DPG from PerfumersWorld,706-14-9,gamma-Decalactone,Fruit (Peach),Heart,C10 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),170.25,2.66,CCCCCCC1CCC(=O)O1
4DD01639,Gamma Decalactone from PerfumersWorld,706-14-9,gamma-Decalactone,Fruit (Peach),Heart,C10 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),170.25,2.66,CCCCCCC1CCC(=O)O1
8F3094001731,Gamma Decalactone from SimpleScentsDIY,706-14-9,gamma-Decalactone,Fruit (Peach),Heart,C10 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),170.25,2.66,CCCCCCC1CCC(=O)O1
4DF00164,Gamma Dodecalactone from PerfumersWorld,2305-05-7,gamma-Dodecalactone,Fruity,No description available,C12 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),198.31,3.44,CCCCCCCCC1CCC(=O)O1
5DV08651,Gamma Octalactone 10% in DPG from PerfumersWorld,104-50-7,GAMMA-OCTALACTONE,Fruit (Coconut),Heart-Base,C8 O2,Lactone,Aliphatic,Yes,Top Note,Standard (Alcohol Compatible),142.2,1.88,CCCCC1CCC(=O)O1
4DD00331,Gamma Octalactone from PerfumersWorld,104-50-7,GAMMA-OCTALACTONE,Fruit (Coconut),Heart-Base,C8 O2,Lactone,Aliphatic,Yes,Top Note,Standard (Alcohol Compatible),142.2,1.88,CCCCC1CCC(=O)O1
8F3094005320,Gamma-Heptalactone from SimpleScentsDIY,105-21-5,gamma-Heptalactone,Fruit (Coconut),No description available,C7 O2,Lactone,Aliphatic,Yes,Top Note,Standard (Alcohol Compatible),128.17,1.49,CCCC1CCC(=O)O1
8F3094001903,Gamma-Octalactone from SimpleScentsDIY,104-50-7,GAMMA-OCTALACTONE,Fruit (Coconut),Heart-Base,C8 O2,Lactone,Aliphatic,Yes,Top Note,Standard (Alcohol Compatible),142.2,1.88,CCCCC1CCC(=O)O1
5YW13682,Geosmin 1% in DPG from PerfumersWorld,23333-91-7,"Octahydro-4,8a-dimethyl-4a(2H)-naphthol",Earthy,No description available,C12 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),182.31,3.12,CC1CCCC2(C1(CCCC2)O)C
5YW18061,Geosmin 1% in TEC from PerfumersWorld,23333-91-7,"Octahydro-4,8a-dimethyl-4a(2H)-naphthol",Earthy,No description available,C12 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),182.31,3.12,CC1CCCC2(C1(CCCC2)O)C
3RL00204,Geraniol from PerfumersWorld,106-24-1,GERANIOL,Aldehydic (Complex),Heart,C10 O1,Primary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.67,CC(=CCCC(=CCO)C)C
8F3094001291,Geraniol from SimpleScentsDIY,106-24-1,GERANIOL,Aldehydic (Complex),Base,C10 O1,Primary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.67,CC(=CCCC(=CCO)C)C
3RL00206,Geranyl Acetate from PerfumersWorld,105-87-3,GERANYL ACETATE,Floral,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,3.24,CC(=CCCC(=CCOC(=O)C)C)C
8F3094001298,Geranyl Acetate from SimpleScentsDIY,105-87-3,GERANYL ACETATE,Floral,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,3.24,CC(=CCCC(=CCOC(=O)C)C)C
4RD00207,Geranyl Butyrate from PerfumersWorld,106-29-6,Geranyl butyrate,Fruity,No description available,C14 O2,Ester,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),224.34,4.02,CCCC(=O)OCC=C(C)CCC=C(C)C
4RW00208,Geranyl Formate from PerfumersWorld,105-86-2,Geranyl formate,Floral,No description available,C11 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),182.26,2.85,CC(=CCCC(=CCOC=O)C)C
3RP04262,Geranyl Phenylacetate from PerfumersWorld,102-22-7,Geranyl phenylacetate,Fruity,No description available,C18 O2,Ester,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),272.39,4.47,CC(=CCCC(=CCOC(=O)CC1=CC=CC=C1)C)C
4RF06840,Givescone from PerfumersWorld,57934-97-1,"Ethyl 2-ethyl-6,6-dimethylcyclohex-2-ene-1-carboxylate",Floral,No description available,C13 O2,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),210.32,3.32,CCC1=CCCC(C1C(=O)OCC)(C)C
8F3094004193,Globanone 50 % in DPG from SimpleScentsDIY,3100-36-5,cyclohexadec-8-en-1-one,Musk,No description available,C16 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),236.4,5.2,C1CCCC=CCCCCCCC(=O)CCC1
3MW11714,Glycolierral from PerfumersWorld,68901-32-6,EINECS 272-669-9,Green,No description available,C15 O2,Acetal,Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),236.35,3.23,CC1=CC2CC(C1CC2C(C)C)C3OCCO3
5PT18969,Guaiacol 1% in TEC from PerfumersWorld,90-05-1,guaiacol,Phenolic,No description available,C7 O2,"Ether, Phenol",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),124.14,1.4,COC1=CC=CC=C1O
5PT07645,Guaiacol 10% in DPG from PerfumersWorld,90-05-1,guaiacol,Phenolic,No description available,C7 O2,"Ether, Phenol",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),124.14,1.4,COC1=CC=CC=C1O
9PT00213,Guaiacol from PerfumersWorld,90-05-1,guaiacol,Phenolic,No description available,C7 O2,"Ether, Phenol",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),124.14,1.4,COC1=CC=CC=C1O
8F3094001653,Guaiacol from SimpleScentsDIY,90-05-1,guaiacol,Phenolic,No description available,C7 O2,"Ether, Phenol",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),124.14,1.4,COC1=CC=CC=C1O
3RW04286,Guaiyl Acetate from PerfumersWorld,134-28-1,Guaiol acetate,Balsamic (Sweet),No description available,C17 O2,Ester,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),264.41,4.49,CC1CCC(CC2=C1CCC2C)C(C)(C)OC(=O)C
3XA09821,Habanolide from PerfumersWorld,111879-80-2,"Oxacyclohexadec-12-en-2-one, (12E)-",Musk (Clean/Metallic),Base,C15 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),238.37,4.39,C1CCCCC=CCCCOC(=O)CCCC1
8F3094001832,Habanolide from SimpleScentsDIY,111879-80-2,"Oxacyclohexadec-12-en-2-one, (12E)-",Musk (Clean/Metallic),Base,C15 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),238.37,4.39,C1CCCCC=CCCCOC(=O)CCCC1
8F3094001878,Hedione HC from SimpleScentsDIY,24851-98-7,Methyl dihydrojasmonate,Floral (Transparent),Blender,C13 O3,"Ester, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),226.32,2.73,CCCCCC1C(CCC1=O)CC(=O)OC
5JJ21775,Hedione High Cis 10% in TEC from PerfumersWorld,24851-98-7,Methyl dihydrojasmonate,Floral (Transparent),Blender,C13 O3,"Ester, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),226.32,2.73,CCCCCC1C(CCC1=O)CC(=O)OC
4JJ10013,Hedione High Cis from PerfumersWorld,24851-98-7,Methyl dihydrojasmonate,Floral (Transparent),Blender,C13 O3,"Ester, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),226.32,2.73,CCCCCC1C(CCC1=O)CC(=O)OC
3JJ00218,Hedione from PerfumersWorld,24851-98-7,Methyl dihydrojasmonate,Floral (Transparent),Blender,C13 O3,"Ester, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),226.32,2.73,CCCCCC1C(CCC1=O)CC(=O)OC
8F3094001479,Hedione from SimpleScentsDIY,24851-98-7,Methyl dihydrojasmonate,Floral (Transparent),Blender,C13 O3,"Ester, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),226.32,2.73,CCCCCC1C(CCC1=O)CC(=O)OC
3GM00219,Helional from PerfumersWorld,1205-17-0,Helional,Fruit (Apple),Heart-Top,C11 O3,"Acetal, Aldehyde",Aromatic (Benzene),Yes,Heart Note,Standard (Alcohol Compatible),192.21,1.79,CC(CC1=CC2=C(C=C1)OCO2)C=O
8F3094001802,Helional from SimpleScentsDIY,1205-17-0,Helional,Fruit (Apple),Top,C11 O3,"Acetal, Aldehyde",Aromatic (Benzene),Yes,Heart Note,Standard (Alcohol Compatible),192.21,1.79,CC(CC1=CC2=C(C=C1)OCO2)C=O
3XD17215,Helvetolide from PerfumersWorld,141773-73-1,HELVETOLIDE,Musk,No description available,C17 O3,"Ester, Ether",Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),284.44,4.34,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C
8F3094001831,Helvetolide from SimpleScentsDIY,141773-73-1,HELVETOLIDE,Musk,No description available,C17 O3,"Ester, Ether",Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),284.44,4.34,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C
4FG13385,Hexanoic Acid from PerfumersWorld,142-62-1,HEXANOIC ACID,Animalic,No description available,C6 O2,Carboxylic Acid,Aliphatic,No,Top Note,Standard (Alcohol Compatible),116.16,1.65,CCCCCC(=O)O
4FG04398,Hexanol from PerfumersWorld,111-27-3,1-Hexanol,Green (Herbal),No description available,C6 O1,Primary Alcohol,Aliphatic,No,Top Note,Standard (Alcohol Compatible),102.18,1.56,CCCCCCO
4FG01284,Hexyl Acetate from PerfumersWorld,142-92-7,Hexyl acetate,Fruity,No description available,C8 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),144.21,2.13,CCCCCCOC(=O)C
8F3094004195,Hexyl Acetate from SimpleScentsDIY,142-92-7,Hexyl acetate,Fruity,No description available,C8 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),144.21,2.13,CCCCCCOC(=O)C
3JJ00217,Hexyl Cinnamic Aldehyde (HCA) from PerfumersWorld,101-86-0,alpha-Hexylcinnamaldehyde,Floral (Hay),Heart,C15 O1,Aldehyde,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),216.32,4.24,CCCCCCC(=CC1=CC=CC=C1)C=O
3OG00230,Hexyl Salicylate from PerfumersWorld,6259-76-3,Hexyl salicylate,Floral (Green),Heart,C13 O3,Salicylate,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),222.28,3.13,CCCCCCOC(=O)C1=CC=CC=C1O
8F3094004201,Hexyl Salicylate from SimpleScentsDIY,6259-76-3,Hexyl salicylate,Floral (Green),Heart,C13 O3,Salicylate,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),222.28,3.13,CCCCCCOC(=O)C1=CC=CC=C1O
5GN08474,Hyacinth Body 10% in DPG from PerfumersWorld,2556-10-7,Ethyl phenethyl acetal,Green,No description available,C12 O2,Acetal,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),194.27,2.63,CCOC(C)OCCC1=CC=CC=C1
4GN00231,Hyacinth Body from PerfumersWorld,2556-10-7,Ethyl phenethyl acetal,Green,No description available,C12 O2,Acetal,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),194.27,2.63,CCOC(C)OCCC1=CC=CC=C1
4GM00232,Hydratropic Aldehyde from PerfumersWorld,93-53-8,2-Phenylpropanal,Green,No description available,C9 O1,Aldehyde,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),134.18,1.99,CC(C=O)C1=CC=CC=C1
3MC00233,Hydroxycitronellal from PerfumersWorld,107-75-5,Hydroxycitronellal,Floral (Mimosa),Heart,C10 O2,"Aldehyde, Tertiary Alcohol",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),172.27,2.15,CC(CCCC(C)(C)O)CC=O
8F3094001861,Hydroxycitronellal from SimpleScentsDIY,107-75-5,Hydroxycitronellal,Floral (Mimosa),Heart,C10 O2,"Aldehyde, Tertiary Alcohol",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),172.27,2.15,CC(CCCC(C)(C)O)CC=O
IPM,IPM,110-27-0,ISOPROPYL MYRISTATE,Unclassified,No description available,C17 O2,Ester,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),270.46,5.64,CCCCCCCCCCCCCC(=O)OC(C)C
3WX10767,Indisan from PerfumersWorld,80748-58-9,Indisan,Woods,No description available,C16 O1,Tertiary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),236.4,4.14,CC1C2CCC(C2)(C1(C)C)C3(CCCCC3)O
5UN07558,Indole 10% in DPG from PerfumersWorld,120-72-9,indole,Animalic (Fecal),Modifier,C8 N1,"Indole, Pyrrole","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Top Note,Standard (Alcohol Compatible),117.15,2.17,C1=CC=C2C(=C1)C=CN2
8F3094001860,Indole 10% in DPG from SimpleScentsDIY,120-72-9,indole,Animalic (Fecal),Modifier,C8 N1,"Indole, Pyrrole","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Top Note,Standard (Alcohol Compatible),117.15,2.17,C1=CC=C2C(=C1)C=CN2
9UN00235,Indole from PerfumersWorld,120-72-9,indole,Animalic (Fecal),Modifier,C8 N1,"Indole, Pyrrole","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Top Note,Standard (Alcohol Compatible),117.15,2.17,C1=CC=C2C(=C1)C=CN2
5NU07552,Indolene 10% in DPG from PerfumersWorld,68527-79-7,DTXSID30867663,Unclassified,No description available,C18 O1 N1,"Indole, Pyrrole, Tertiary Alcohol","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Base Note,Lipophilic (Oil/Wax Compatible),271.4,4.69,CC(CCCC(C)(C)O)C=CN1C=CC2=CC=CC=C21
4NU04558,Indolene from PerfumersWorld,68527-79-7,DTXSID30867663,Unclassified,No description available,C18 O1 N1,"Indole, Pyrrole, Tertiary Alcohol","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Base Note,Lipophilic (Oil/Wax Compatible),271.4,4.69,CC(CCCC(C)(C)O)C=CN1C=CC2=CC=CC=C21
3IA06874,Irotyl from PerfumersWorld,2983-37-1,Ethyl 2-ethylhexanoate,Floral,No description available,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),172.27,2.77,CCCCC(CC)C(=O)OCC
3WY00244,Iso E Super from PerfumersWorld,54464-57-2,"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone",Woods (Agarwood),Base-Heart,C16 O1,Ketone,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),234.38,4.52,CC1CC2=C(CC1(C)C(=O)C)C(CCC2)(C)C
8F3094001265,Iso E Super from SimpleScentsDIY,54464-57-2,"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone",Woods (Agarwood),Base,C16 O1,Ketone,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),234.38,4.52,CC1CC2=C(CC1(C)C(=O)C)C(CCC2)(C)C
8F3094001865,IsoButyl Quinoline from SimpleScentsDIY,1333-58-0,(Isobutyl)quinoline,Animalic,No description available,C13 N1,"Pyridine, Quinoline","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Heart Note,Standard (Alcohol Compatible),185.27,3.43,CC(C)CC1=CC=NC2=CC=CC=C12
9FD00245,Isoamyl Acetate from PerfumersWorld,123-92-2,ISOAMYL ACETATE,Fruity,No description available,C7 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),130.19,1.6,CC(C)CCOC(=O)C
8F3094001694,Isoamyl Acetate from SimpleScentsDIY,123-92-2,ISOAMYL ACETATE,Fruity,No description available,C7 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),130.19,1.6,CC(C)CCOC(=O)C
3FD00246,Isoamyl Butyrate from PerfumersWorld,106-27-4,Isoamyl butyrate,Fruity,No description available,C9 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),158.24,2.38,CCCC(=O)OCCC(C)C
8F3094001553,Isoamyl Butyrate from SimpleScentsDIY,106-27-4,Isoamyl butyrate,Fruity,No description available,C9 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),158.24,2.38,CCCC(=O)OCCC(C)C
8F3094001862,Isoamyl Phenyl Acetate from SimpleScentsDIY,102-19-2,Isoamyl phenylacetate,Gourmet (Roasted),No description available,C13 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),206.28,2.82,CC(C)CCOC(=O)CC1=CC=CC=C1
8F3094001691,Isoamyl Salicylate from SimpleScentsDIY,87-20-7,Isoamyl salicylate,Floral,No description available,C12 O3,Salicylate,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),208.26,2.6,CC(C)CCOC(=O)C1=CC=CC=C1O
3KH00065,Isobornyl Acetate from PerfumersWorld,125-12-2,Isobornyl acetate,Balsamic (Sweet),No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,2.76,CC(=O)OC1CC2CCC1(C2(C)C)C
4VV16856,Isobutavan from PerfumersWorld,20665-85-4,Vanillin isobutyrate,Citrus (Orange),Top,C12 O4,"Aldehyde, Ester, Ether",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),222.24,2.07,CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC
8F3094001655,Isobutavan from SimpleScentsDIY,20665-85-4,Vanillin isobutyrate,Citrus (Orange),Top,C12 O4,"Aldehyde, Ester, Ether",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),222.24,2.07,CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC
5UP07523,Isobutyl Quinoline 10% in DPG from PerfumersWorld,65442-31-1,6-sec-Butylquinoline,Leather,No description available,C13 N1,"Pyridine, Quinoline","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Heart Note,Standard (Alcohol Compatible),185.27,3.75,CCC(C)C1=CC2=C(C=C1)N=CC=C2
9UP00247,Isobutyl Quinoline from PerfumersWorld,65442-31-1,6-sec-Butylquinoline,Leather,No description available,C13 N1,"Pyridine, Quinoline","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Heart Note,Standard (Alcohol Compatible),185.27,3.75,CCC(C)C1=CC2=C(C=C1)N=CC=C2
8F3094001692,Isobutyl Salicylate from SimpleScentsDIY,87-19-4,Isobutyl salicylate,Floral,No description available,C11 O3,Salicylate,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),194.23,2.21,CC(C)COC(=O)C1=CC=CC=C1O
5DF14120,Isobutyric Acid 10% in DPG from PerfumersWorld,79-31-2,ISOBUTYRIC ACID,Chemical / Other,No description available,C4 O2,Carboxylic Acid,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),88.11,0.73,CC(C)C(=O)O
4DF13384,Isobutyric Acid from PerfumersWorld,79-31-2,ISOBUTYRIC ACID,Chemical / Other,No description available,C4 O2,Carboxylic Acid,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),88.11,0.73,CC(C)C(=O)O
4CA03618,Isocyclocitral from PerfumersWorld,1335-66-6,DTXSID8044541,Green (Bitter),Top,C20 O2,Aldehyde,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),304.47,4.85,CC1CC(=CC(C1C=O)C)C.CC1C=C(CC(C1C)C=O)C
8F3094001777,Isocyclocitral from SimpleScentsDIY,1335-66-6,DTXSID8044541,Green (Bitter),Top,C20 O2,Aldehyde,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),304.47,4.85,CC1CC(=CC(C1C=O)C)C.CC1C=C(CC(C1C)C=O)C
3SP00250,Isoeugenol from PerfumersWorld,97-54-1,Isoeugenol,Balsamic (Sweet),Heart,C10 O2,"Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,2.43,CC=CC1=CC(=C(C=C1)O)OC
3WY14446,Isolongifolanone from PerfumersWorld,14727-47-0,trans-Isolongifolanone,Woods,No description available,C15 O1,Ketone,Aliphatic,No,Base Note,Standard (Alcohol Compatible),220.36,3.82,CC1(CCC(=O)C2C13CCC(C3)C2(C)C)C
8F3094004214,Isolongifolanone from SimpleScentsDIY,23787-90-8,"2H-2,4a-Methanonaphthalen-8(5H)-one, 1,3,4,6,7,8a-hexahydro-1,1,5,5-tetramethyl-",Woods,No description available,C15 O1,Ketone,Aliphatic,No,Base Note,Standard (Alcohol Compatible),220.36,3.82,CC1(CCC(=O)C2C13CCC(C3)C2(C)C)C
3LH00252,Isononyl Acetate from PerfumersWorld,58430-94-7,"3,5,5-Trimethylhexyl acetate",Green (Herbal),No description available,C11 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),186.29,3.01,CC(CCOC(=O)C)CC(C)(C)C
3JF07351,Jasmin Lactone from PerfumersWorld,34686-71-0,6-pent-2-enyloxan-2-one,Floral,No description available,C10 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),168.24,2.44,CCC=CCC1CCCC(=O)O1
8F3094001732,Jasmolactone from SimpleScentsDIY,32764-98-0,8-Decen-5-olide,Floral,No description available,C10 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),168.24,2.44,CC=CCCC1CCCC(=O)O1
8F3094001693,Jasmonal H (HCA) from SimpleScentsDIY,101-86-0,alpha-Hexylcinnamaldehyde,Floral (Hay),Heart,C15 O1,Aldehyde,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),216.32,4.24,CCCCCCC(=CC1=CC=CC=C1)C=O
4WX10027,Javanol from PerfumersWorld,198404-98-7,Javanol,Woods (Sandal),Base,C15 O1,Primary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),222.37,3.47,CC1(C(CC2C1(C2)C)CC3CC3(C)CO)C
8F3094004199,Javanol from SimpleScentsDIY,198404-98-7,Javanol,Woods (Sandal),Base,C15 O1,Primary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),222.37,3.47,CC1(C(CC2C1(C2)C)CC3CC3(C)CO)C
