SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
4HF00147,Dihydro Carvyl Acetate from PerfumersWorld,20777-49-5,Dihydrocarvyl acetate,Floral,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,2.93,CC1CCC(CC1OC(=O)C)C(=C)C
2VD00148,Dihydro Coumarin from PerfumersWorld,119-84-6,dihydrocoumarin,Balsamic (Sweet),No description available,C9 O2,Lactone,Aromatic (Benzene),Yes,Top Note,Standard (Alcohol Compatible),148.16,1.54,C1CC(=O)OC2=CC=CC=C21
5JN10948,Dihydro Jasmone 10% in DPG from PerfumersWorld,1128-08-1,Dihydrojasmone,Floral,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),166.26,3.25,CCCCCC1=C(C)C(=O)CC1
4JN00149,Dihydro Jasmone from PerfumersWorld,1128-08-1,Dihydrojasmone,Floral,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),166.26,3.25,CCCCCC1=C(C)C(=O)CC1
8F3094001822,Dihydro Jasmone from SimpleScentsDIY,1128-08-1,Dihydrojasmone,Floral,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),166.26,3.25,CCCCCC1=C(C)C(=O)CC1
3CK00150,Dihydro Myrcenol from PerfumersWorld,18479-58-8,Dihydromyrcenol,Citrus (Lime),Top,C10 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.75,CC(CCCC(C)(C)O)C=C
3KL00152,Dihydro Terpinyl Acetate from PerfumersWorld,80-25-1,Dihydroterpinyl acetate,Woods,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),198.31,3.15,CC1CCC(CC1)C(C)(C)OC(=O)C
8F3094001289,Dihydromyrcenol from SimpleScentsDIY,18479-58-8,Dihydromyrcenol,Citrus (Lime),Top,C10 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.75,CC(CCCC(C)(C)O)C=C
3NC00155,Dimethyl Anthranilate from PerfumersWorld,85-91-6,Methyl 2-(methylamino)benzoate,Woods (Rot),Base,C9 O2 N1,"Amine, Ester",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),165.19,1.51,CNC1=CC=CC=C1C(=O)OC
3LL00156,Dimethyl Benzyl Carbinol from PerfumersWorld,100-86-7,2-Methyl-1-phenyl-2-propanol,Floral,No description available,C10 O1,Tertiary Alcohol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.22,2.0,CC(C)(CC1=CC=CC=C1)O
3LF00157,Dimethyl Benzyl Carbinyl Acetate from PerfumersWorld,151-05-3,Dimethylbenzylcarbinyl acetate,Floral,No description available,C12 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),192.26,2.57,CC(=O)OC(C)(C)CC1=CC=CC=C1
4LD02865,Dimethyl Benzyl Carbinyl Butyrate from PerfumersWorld,10094-34-5,"1,1-Dimethyl-2-phenylethyl butyrate",Floral,No description available,C14 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),220.31,3.35,CCCC(=O)OC(C)(C)CC1=CC=CC=C1
5EG09234,Dimethyl Sulfide 1% in DPG from PerfumersWorld,75-18-3,dimethyl sulfide,Facet (Oceanic),Top,C2 S1,Hydrocarbon / Other,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),62.14,0.98,CSC
3CK07504,Dimetol from PerfumersWorld,13254-34-7,"2,6-Dimethyl-2-heptanol",Green (Herbal),No description available,C9 O1,Tertiary Alcohol,Aliphatic,No,Top Note,Standard (Alcohol Compatible),144.26,2.58,CC(C)CCCC(C)(C)O
8F3094001775,Dimetol from SimpleScentsDIY,13254-34-7,"2,6-Dimethyl-2-heptanol",Green (Herbal),No description available,C9 O1,Tertiary Alcohol,Aliphatic,No,Top Note,Standard (Alcohol Compatible),144.26,2.58,CC(C)CCCC(C)(C)O
5RB09235,Diphenyl Oxide 10% in DPG from PerfumersWorld,101-84-8,DIPHENYL ETHER,Green,No description available,C12 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.48,C1=CC=C(C=C1)OC2=CC=CC=C2
5RB07855,Diphenyl Oxide 50% in DPG from PerfumersWorld,101-84-8,DIPHENYL ETHER,Green,No description available,C12 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.48,C1=CC=C(C=C1)OC2=CC=CC=C2
2RB00163,Diphenyl Oxide from PerfumersWorld,101-84-8,DIPHENYL ETHER,Green,No description available,C12 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.48,C1=CC=C(C=C1)OC2=CC=CC=C2
8F3094004204,Diphenyl Oxide from SimpleScentsDIY,101-84-8,DIPHENYL ETHER,Green,No description available,C12 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.48,C1=CC=C(C=C1)OC2=CC=CC=C2
5AC07788,Dodecyl Nitrile 10% in DPG from PerfumersWorld,2437-25-4,Dodecanenitrile,Citrus,No description available,C12 N1,Nitrile,Aliphatic,No,Heart Note,Lipophilic (Oil/Wax Compatible),181.32,4.43,CCCCCCCCCCCC#N
3AC03955,Dodecyl Nitrile from PerfumersWorld,2437-25-4,Dodecanenitrile,Citrus,No description available,C12 N1,Nitrile,Aliphatic,No,Heart Note,Lipophilic (Oil/Wax Compatible),181.32,4.43,CCCCCCCCCCCC#N
5MA08874,Dupical 10% in DPG from PerfumersWorld,30168-23-1,4-Tricyclodecylidene butanal,Floral,No description available,C14 O1,Aldehyde,Aliphatic,No,Base Note,Standard (Alcohol Compatible),204.31,3.35,C1CC2C(C1)C3CC2CC3=CCCC=O
4MA00167,Dupical from PerfumersWorld,30168-23-1,4-Tricyclodecylidene butanal,Floral,No description available,C14 O1,Aldehyde,Aliphatic,No,Base Note,Standard (Alcohol Compatible),204.31,3.35,C1CC2C(C1)C3CC2CC3=CCCC=O
